"cod_cent";"id";"nombre";"tipo_elem";"x";"y"
"06002";3950;"Francisco Silvela, 76 S-N - Mejico-Coslada";"URB";"442664.398454221";"4476394.76746293"
"06003";9894;"Jorge Juan O-E - Lagasca -Velazquez";"URB";"441871.940514373";"4475024.48683067"
"06004";3952;"Principe Vergara, 131 N-S - Lopez Hoyos - Gomez Ortega";"URB";"442448.874747091";"4477134.82572167"
"06005";3953;"Lopez Hoyos, 74 E-O - Gomez Ortega-Principe Vergara";"URB";"442549.542669983";"4477033.9346986"
"06006";3954;"Principe Vergara S-N - Francisco Silvela-Lopez Hoyos";"URB";"442430.365872894";"4476844.20093067"
"06008";4224;"Principe Vergara, 88 S-N - General Oraa -Maria Molina";"URB";"442394.135527645";"4476382.57780313"
"06009";4225;"Maria Molina (Debajo Tunel) O-E - Serrano-Velazquez";"URB";"441951.127313683";"4476565.13008311"
"06010";3956;"Velazquez,135 S-N (Oquendo -Joaquin Costa)";"URB";"442088.539696657";"4476886.50271135"
"06011";9893;"Velazquez S-N -  Villanueva-Jorge Juan";"URB";"441948.555134308";"4474911.4227666"
"06012";3958;"Principe Vergara, 103 N-S - Francisco Silvela-Maria Molina";"URB";"442404.272199216";"4476630.14017172"
"06013";3757;"Velazquez S-N - Maldonado-Diego de Leon";"URB";"442037.850474148";"4476174.46799237"
"06014";3959;"Velazquez S-N - General Oraa-Maria Molina";"URB";"442050.654898635";"4476404.36364485"
"06015";3960;"Maria Molina E-O - Velazquez-Lopez Hoyos";"URB";"442011.697616966";"4476569.29132201"
"06016";3720;"(AFOROS) Velazquez, 24 S-N - Jorge Juan -Goya";"URB";"441963.370258008";"4475052.90827014"
"06017";9890;"Velazquez S-N - (Hermosilla -Ayala";"URB";"441977.616507621";"4475347.82782993"
"06018";3961;"Lopez Hoyos, 38 O-E - Pedro Valdivia-Gta, Lopez Hoyos";"URB";"442135.014671019";"4476751.40289093"
"06019";3497;"Lopez Hoyos, 28 S-N - Lagasca-Velazquez";"URB";"442028.812724836";"4476682.59047938"
"06020";3434;"Velazquez S-N - Maria Molina-Lopez Hoyos";"URB";"442066.202098096";"4476599.24172206"
"06021";3435;"Maria Molina, 40 O-E - Velazquez-Nu�ez de Balboa";"URB";"442090.144017708";"4476551.25456124"
"06022";3962;"Juan Bravo  E-O - Nu�ez de Balboa-Velazquez";"URB";"442121.453385774";"4476025.77274241"
"06023";3963;"Juan Bravo, 8 O-E - Claudio Coello-Lagasca";"URB";"441881.504769244";"4476024.97761421"
"06024";3964;"Velazquez, 90 S-N - Padilla-Juan Bravo";"URB";"442017.073322946";"4475892.72266425"
"06025";3965;"Velazquez, 74 S-N - Ramon de la Cruz-Ortega y Gasset";"URB";"441997.70668377";"4475622.05137379"
"06026";3966;"Lopez Hoyos, 27 N-S - Gta, Lopez Hoyos-Velazquez";"URB";"442223.515613048";"4476836.49412206"
"06027";3967;"Maria Molina, 31 E-O - Nu�ez de Balboa-Velazquez";"URB";"442163.439035378";"4476556.16907328"
"06028";3968;"Maria Molina O-E - Principe Vergara-General Pardi�as";"URB";"442425.733152035";"4476525.52391374"
"06029";3969;"Maria Molina E-O - Fco, Silvela-Principe Vergara";"URB";"442477.492153572";"4476531.63632174"
"06030";3970;"Francisco Silvela N-S - Principe Vergara-Maria Molina";"URB";"442466.342815802";"4476608.5852883"
